record_id,source_type,source_ref,validation_status
rec_0001_be_junior_http_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0002_be_junior_http_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0003_be_junior_http_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0004_be_junior_http_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0005_be_junior_http_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0006_be_junior_http_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0007_be_junior_http_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0008_be_junior_http_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0009_be_junior_http_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0010_be_junior_http_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0011_be_junior_http_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0012_be_junior_http_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0013_be_junior_http_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0014_be_junior_http_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0015_be_junior_http_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0016_be_junior_http_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0017_be_junior_http_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0018_be_junior_http_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0019_be_junior_http_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0020_be_junior_http_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0021_be_junior_api_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0022_be_junior_api_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0023_be_junior_api_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0024_be_junior_api_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0025_be_junior_api_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0026_be_junior_api_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0027_be_junior_api_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0028_be_junior_api_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0029_be_junior_api_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
